Element,Name,Cov.,Cov.,Cxty,Mutation Coverage
ArrayStack,ArrayStack,75%,62%,16,0%
ArrayUtils,ArrayUtils,63%,56%,12,53%
ClosureUtils,ClosureUtils,100%,100%,18,100%
CollectionUtils,CollectionUtils,96%,92%,203,90%
ComparatorUtils,ComparatorUtils,85%,77%,20,81%
EnumerationUtils,EnumerationUtils,100%,100%,6,88%
FluentIterable,FluentIterable,100%,100%,36,100%
IterableUtils,IterableUtils,90%,95%,75,84%
IteratorUtils,IteratorUtils,71%,70%,141,78%
ListUtils,ListUtils,88%,89%,60,85%
MapUtils,MapUtils,92%,94%,168,89%
MultiMapUtils,MultiMapUtils,72%,80%,22,68%
SetUtils,SetUtils,82%,97%,43,76%
SplitMapUtils,SplitMapUtils,71%,70%,7,59%
TransformerUtils,TransformerUtils,100%,100%,25,100%
AbstractBagDecorator,AbstractBagDecorator,81%,100%,11,67%
AbstractMapBag,AbstractMapBag,97%,90%,68,55%
CollectionBag,CollectionBag,92%,87%,23,79%
CollectionSortedBag,CollectionSortedBag,92%,87%,23,75%
PredicatedBag,PredicatedBag,100%,100%,11,18%
SynchronizedBag,SynchronizedBag,95%,100%,11,10%
TransformedBag,TransformedBag,100%,87%,14,7%
TransformedSortedBag,TransformedSortedBag,34%,0%,9,11%
TreeBag,TreeBag,92%,100%,13,38%
UnmodifiableBag,UnmodifiableBag,84%,100%,15,33%
UnmodifiableSortedBag,UnmodifiableSortedBag,83%,100%,15,33%
AbstractDualBidiMap,AbstractDualBidiMap,100%,100%,34,11%
DualTreeBidiMap,DualTreeBidiMap,85%,83%,26,0%
TreeBidiMap,TreeBidiMap,92%,88%,193,0%
UnmodifiableBidiMap,UnmodifiableBidiMap,100%,100%,14,0%
UnmodifiableOrderedBidiMap,UnmodifiableOrderedBidiMap,100%,100%,15,0%
UnmodifiableSortedBidiMap,UnmodifiableSortedBidiMap,100%,100%,17,0%
AbstractCollectionDecorator,AbstractCollectionDecorator,96%,100%,19,100%
CompositeCollection,CompositeCollection,88%,98%,53,72%
IndexedCollection,IndexedCollection,97%,95%,27,83%
PredicatedCollection,PredicatedCollection,100%,100%,11,84%
SynchronizedCollection,SynchronizedCollection,95%,75%,26,88%
TransformedCollection,TransformedCollection,100%,87%,11,90%
UnmodifiableBoundedCollection,UnmodifiableBoundedCollection,72%,64%,20,56%
UnmodifiableCollection,UnmodifiableCollection,100%,100%,10,100%
BooleanComparator,BooleanComparator,91%,92%,17,76%
ComparableComparator,ComparableComparator,100%,100%,9,71%
ComparatorChain,ComparatorChain,75%,64%,39,54%
FixedOrderComparator,FixedOrderComparator,83%,67%,45,62%
NullComparator,NullComparator,68%,66%,19,45%
ReverseComparator,ReverseComparator,85%,75%,9,73%
TransformingComparator,TransformingComparator,87%,59%,16,57%
AllPredicate,AllPredicate,100%,100%,10,100%
AndPredicate,AndPredicate,74%,87%,8,86%
AnyPredicate,AnyPredicate,94%,91%,10,93%
ChainedClosure,ChainedClosure,95%,100%,12,85%
ChainedTransformer,ChainedTransformer,95%,100%,11,83%
CloneTransformer,CloneTransformer,100%,100%,4,100%
ClosureTransformer,ClosureTransformer,88%,100%,5,60%
ComparatorPredicate,ComparatorPredicate,76%,85%,16,100%
ConstantFactory,ConstantFactory,88%,100%,6,80%
ConstantTransformer,ConstantTransformer,41%,21%,15,33%
DefaultEquator,DefaultEquator,86%,75%,9,63%
EqualPredicate,EqualPredicate,94%,100%,9,90%
FactoryTransformer,FactoryTransformer,88%,100%,5,75%
ForClosure,ForClosure,86%,100%,9,85%
FunctorUtils,FunctorUtils,94%,90%,25,82%
IdentityPredicate,IdentityPredicate,88%,100%,6,83%
IfClosure,IfClosure,64%,62%,12,73%
IfTransformer,IfTransformer,82%,83%,13,77%
InstanceofPredicate,InstanceofPredicate,69%,50%,5,75%
InstantiateFactory,InstantiateFactory,82%,77%,16,88%
InstantiateTransformer,InstantiateTransformer,72%,58%,18,88%
InvokerTransformer,InvokerTransformer,74%,85%,19,100%
MapTransformer,MapTransformer,86%,100%,5,80%
NonePredicate,NonePredicate,100%,100%,8,100%
NotNullPredicate,NotNullPredicate,100%,100%,5,100%
NotPredicate,NotPredicate,77%,100%,6,80%
NullIsExceptionPredicate,NullIsExceptionPredicate,78%,100%,6,60%
NullIsFalsePredicate,NullIsFalsePredicate,77%,100%,6,83%
NullIsTruePredicate,NullIsTruePredicate,77%,100%,6,83%
NullPredicate,NullPredicate,100%,100%,5,100%
OnePredicate,OnePredicate,93%,90%,9,91%
OrPredicate,OrPredicate,74%,87%,8,86%
PredicateTransformer,PredicateTransformer,88%,100%,5,75%
PrototypeFactory,PrototypeFactory,100%,100%,3,71%
SwitchClosure,SwitchClosure,92%,91%,20,71%
SwitchTransformer,SwitchTransformer,92%,92%,21,73%
TransformedPredicate,TransformedPredicate,68%,75%,7,67%
TransformerClosure,TransformerClosure,87%,100%,5,75%
TransformerPredicate,TransformerPredicate,91%,100%,6,80%
WhileClosure,WhileClosure,85%,100%,10,70%
AbstractListIteratorDecorator,AbstractListIteratorDecorator,90%,50%,12,91%
AbstractMapIteratorDecorator,AbstractMapIteratorDecorator,0%,0%,9,0%
