Element,Name,statement_coverage,branch_coverage,cc,mutation_score
ArrayStack,ArrayStack,0.75,0.62,16,0
ArrayUtils,ArrayUtils,0.63,0.56,12,0.53
ClosureUtils,ClosureUtils,1,1,18,1
CollectionUtils,CollectionUtils,0.96,0.92,203,0.9
ComparatorUtils,ComparatorUtils,0.85,0.77,20,0.81
EnumerationUtils,EnumerationUtils,1,1,6,0.88
FluentIterable,FluentIterable,1,1,36,1
IterableUtils,IterableUtils,0.9,0.95,75,0.84
IteratorUtils,IteratorUtils,0.71,0.7,141,0.78
ListUtils,ListUtils,0.88,0.89,60,0.85
MapUtils,MapUtils,0.92,0.94,168,0.89
MultiMapUtils,MultiMapUtils,0.72,0.8,22,0.68
SetUtils,SetUtils,0.82,0.97,43,0.76
SplitMapUtils,SplitMapUtils,0.71,0.7,7,0.59
TransformerUtils,TransformerUtils,1,1,25,1
AbstractBagDecorator,AbstractBagDecorator,0.81,1,11,0.67
AbstractMapBag,AbstractMapBag,0.97,0.9,68,0.55
CollectionBag,CollectionBag,0.92,0.87,23,0.79
CollectionSortedBag,CollectionSortedBag,0.92,0.87,23,0.75
PredicatedBag,PredicatedBag,1,1,11,0.18
SynchronizedBag,SynchronizedBag,0.95,1,11,0.1
TransformedBag,TransformedBag,1,0.87,14,0.07
TransformedSortedBag,TransformedSortedBag,0.34,0,9,0.11
TreeBag,TreeBag,0.92,1,13,0.38
UnmodifiableBag,UnmodifiableBag,0.84,1,15,0.33
UnmodifiableSortedBag,UnmodifiableSortedBag,0.83,1,15,0.33
AbstractDualBidiMap,AbstractDualBidiMap,1,1,34,0.11
DualTreeBidiMap,DualTreeBidiMap,0.85,0.83,26,0
TreeBidiMap,TreeBidiMap,0.92,0.88,193,0
UnmodifiableBidiMap,UnmodifiableBidiMap,1,1,14,0
UnmodifiableOrderedBidiMap,UnmodifiableOrderedBidiMap,1,1,15,0
UnmodifiableSortedBidiMap,UnmodifiableSortedBidiMap,1,1,17,0
AbstractCollectionDecorator,AbstractCollectionDecorator,0.96,1,19,1
CompositeCollection,CompositeCollection,0.88,0.98,53,0.72
IndexedCollection,IndexedCollection,0.97,0.95,27,0.83
PredicatedCollection,PredicatedCollection,1,1,11,0.84
SynchronizedCollection,SynchronizedCollection,0.95,0.75,26,0.88
TransformedCollection,TransformedCollection,1,0.87,11,0.9
UnmodifiableBoundedCollection,UnmodifiableBoundedCollection,0.72,0.64,20,0.56
UnmodifiableCollection,UnmodifiableCollection,1,1,10,1
BooleanComparator,BooleanComparator,0.91,0.92,17,0.76
ComparableComparator,ComparableComparator,1,1,9,0.71
ComparatorChain,ComparatorChain,0.75,0.64,39,0.54
FixedOrderComparator,FixedOrderComparator,0.83,0.67,45,0.62
NullComparator,NullComparator,0.68,0.66,19,0.45
ReverseComparator,ReverseComparator,0.85,0.75,9,0.73
TransformingComparator,TransformingComparator,0.87,0.59,16,0.57
AllPredicate,AllPredicate,1,1,10,1
AndPredicate,AndPredicate,0.74,0.87,8,0.86
AnyPredicate,AnyPredicate,0.94,0.91,10,0.93
ChainedClosure,ChainedClosure,0.95,1,12,0.85
ChainedTransformer,ChainedTransformer,0.95,1,11,0.83
CloneTransformer,CloneTransformer,1,1,4,1
ClosureTransformer,ClosureTransformer,0.88,1,5,0.6
ComparatorPredicate,ComparatorPredicate,0.76,0.85,16,1
ConstantFactory,ConstantFactory,0.88,1,6,0.8
ConstantTransformer,ConstantTransformer,0.41,0.21,15,0.33
DefaultEquator,DefaultEquator,0.86,0.75,9,0.63
EqualPredicate,EqualPredicate,0.94,1,9,0.9
FactoryTransformer,FactoryTransformer,0.88,1,5,0.75
ForClosure,ForClosure,0.86,1,9,0.85
FunctorUtils,FunctorUtils,0.94,0.9,25,0.82
IdentityPredicate,IdentityPredicate,0.88,1,6,0.83
IfClosure,IfClosure,0.64,0.62,12,0.73
IfTransformer,IfTransformer,0.82,0.83,13,0.77
InstanceofPredicate,InstanceofPredicate,0.69,0.5,5,0.75
InstantiateFactory,InstantiateFactory,0.82,0.77,16,0.88
InstantiateTransformer,InstantiateTransformer,0.72,0.58,18,0.88
InvokerTransformer,InvokerTransformer,0.74,0.85,19,1
MapTransformer,MapTransformer,0.86,1,5,0.8
NonePredicate,NonePredicate,1,1,8,1
NotNullPredicate,NotNullPredicate,1,1,5,1
NotPredicate,NotPredicate,0.77,1,6,0.8
NullIsExceptionPredicate,NullIsExceptionPredicate,0.78,1,6,0.6
NullIsFalsePredicate,NullIsFalsePredicate,0.77,1,6,0.83
NullIsTruePredicate,NullIsTruePredicate,0.77,1,6,0.83
NullPredicate,NullPredicate,1,1,5,1
OnePredicate,OnePredicate,0.93,0.9,9,0.91
OrPredicate,OrPredicate,0.74,0.87,8,0.86
PredicateTransformer,PredicateTransformer,0.88,1,5,0.75
PrototypeFactory,PrototypeFactory,1,1,3,0.71
SwitchClosure,SwitchClosure,0.92,0.91,20,0.71
SwitchTransformer,SwitchTransformer,0.92,0.92,21,0.73
TransformedPredicate,TransformedPredicate,0.68,0.75,7,0.67
TransformerClosure,TransformerClosure,0.87,1,5,0.75
TransformerPredicate,TransformerPredicate,0.91,1,6,0.8
WhileClosure,WhileClosure,0.85,1,10,0.7
AbstractListIteratorDecorator,AbstractListIteratorDecorator,0.9,0.5,12,0.91
AbstractMapIteratorDecorator,AbstractMapIteratorDecorator,0,0,9,0
AbstractOrderedMapIteratorDecorator,AbstractOrderedMapIteratorDecorator,0,0,11,0
AbstractUntypedIteratorDecorator,AbstractUntypedIteratorDecorator,0.79,0.5,5,1
ArrayIterator,ArrayIterator,0.93,1,16,0.82
ArrayListIterator,ArrayListIterator,0.95,1,15,1
BoundedIterator,BoundedIterator,0.95,0.94,15,1
CollatingIterator,CollatingIterator,0.8,0.81,46,0.77
EntrySetMapIterator,EntrySetMapIterator,0,0,14,0
EnumerationIterator,EnumerationIterator,0.44,0,10,0.4
FilterIterator,FilterIterator,0.85,0.92,18,0.86
FilterListIterator,FilterListIterator,0.73,0.83,39,0.88
IteratorChain,IteratorChain,0.64,0.7,24,0.6
IteratorIterable,IteratorIterable,1,0.83,7,0.89
LazyIteratorChain,LazyIteratorChain,1,1,11,1
ListIteratorWrapper,ListIteratorWrapper,0.86,0.8,31,0.92
LoopingIterator,LoopingIterator,1,1,10,1
LoopingListIterator,LoopingListIterator,0.89,0.87,25,0.93
NodeListIterator,NodeListIterator,0.93,0.75,11,1
ObjectArrayIterator,ObjectArrayIterator,0.94,1,16,0.88
ObjectArrayListIterator,ObjectArrayListIterator,0.94,1,15,0.94
ObjectGraphIterator,ObjectGraphIterator,1,1,23,1
PeekingIterator,PeekingIterator,0.91,0.88,21,0.87
PermutationIterator,PermutationIterator,1,1,21,0.89
PushbackIterator,PushbackIterator,0.84,0.7,11,0.9
ReverseListIterator,ReverseListIterator,0.9,0.75,15,1
SingletonIterator,SingletonIterator,1,1,13,1
SingletonListIterator,SingletonListIterator,1,0.92,25,1
SkippingIterator,SkippingIterator,1,1,8,1
UnmodifiableIterator,UnmodifiableIterator,1,1,7,1
UnmodifiableListIterator,UnmodifiableListIterator,1,1,13,1
UnmodifiableMapIterator,UnmodifiableMapIterator,1,1,10,1
UnmodifiableOrderedMapIterator,UnmodifiableOrderedMapIterator,1,1,12,1
ZippingIterator,ZippingIterator,0.96,0.92,13,1
AbstractMapEntry,AbstractMapEntry,1,0.95,14,0.88
AbstractMapEntryDecorator,AbstractMapEntryDecorator,0.76,0.5,10,0.5
DefaultKeyValue,DefaultKeyValue,0.97,0.79,21,0.9
MultiKey,MultiKey,1,1,20,0.94
TiedMapEntry,TiedMapEntry,0.97,0.77,18,0.9
AbstractLinkedList,AbstractLinkedList,0.96,0.91,99,0
AbstractListDecorator,AbstractListDecorator,0.96,1,17,1
CursorableLinkedList,CursorableLinkedList,0.91,0.73,33,0
GrowthList,GrowthList,0.9,0.6,12,0.5
LazyList,LazyList,0.64,0.75,8,0.67
NodeCachingLinkedList,NodeCachingLinkedList,0.93,1,20,0
PredicatedList,PredicatedList,0.88,1,18,0.74
SetUniqueList,SetUniqueList,0.89,0.92,34,0.96
TransformedList,TransformedList,0.91,0.87,20,0.86
TreeList,TreeList,0.99,0.88,25,0
UnmodifiableList,UnmodifiableList,1,1,17,1
AbstractHashedMap,AbstractHashedMap,0.96,0.91,120,0.41
AbstractInputCheckedMapDecorator,AbstractInputCheckedMapDecorator,0.92,1,5,0.43
AbstractLinkedMap,AbstractLinkedMap,0.97,1,43,0.3
AbstractMapDecorator,AbstractMapDecorator,1,1,20,1
AbstractReferenceMap,AbstractReferenceMap,0.95,0.8,55,0
AbstractSortedMapDecorator,AbstractSortedMapDecorator,0.31,0,14,0.07
CaseInsensitiveMap,CaseInsensitiveMap,0.92,1,10,0
CompositeMap,CompositeMap,0.96,0.94,48,0.94
DefaultedMap,DefaultedMap,0.84,0.7,14,1
EntrySetToMapIteratorAdapter,EntrySetToMapIteratorAdapter,1,1,10,0.67
FixedSizeMap,FixedSizeMap,0.7,0.33,16,0.54
FixedSizeSortedMap,FixedSizeSortedMap,0.81,0.5,19,0
Flat3Map,Flat3Map,0.89,0.77,184,0
LazyMap,LRUMap,1,1,10,0
LinkedMap,LazyMap,0.89,1,14,1
ListOrderedMap,LinkedMap,0.95,0.9,49,0.08
LRUMap,ListOrderedMap,0.59,0.77,45,0.48
MultiKeyMap,MultiKeyMap,0.9,0.63,189,0
MultiValueMap,MultiValueMap,0.96,0.88,44,0.91
PassiveExpiringMap,PassiveExpiringMap,0.9,1,36,0
PredicatedMap,PredicatedMap,1,1,17,0.89
ReferenceIdentityMap,ReferenceIdentityMap,0.71,1,14,0
SingletonMap,SingletonMap,0.62,0.42,51,0
StaticBucketMap,StaticBucketMap,0.93,0.85,56,0
TransformedMap,TransformedMap,0.99,0.83,18,0.91
TransformedSortedMap,TransformedSortedMap,1,0.5,11,0
UnmodifiableEntrySet,UnmodifiableEntrySet,0.98,0.83,17,0.16
UnmodifiableMap,UnmodifiableMap,0.75,0.5,14,0.58
UnmodifiableOrderedMap,UnmodifiableOrderedMap,1,1,13,0.7
UnmodifiableSortedMap,UnmodifiableSortedMap,0.69,1,18,0.6
AbstractMultiValuedMap,AbstractMultiValuedMap,0.79,0.74,58,0.07
AbstractMultiValuedMapDecorator,AbstractMultiValuedMapDecorator,0.79,1,26,0.08
ArrayListValuedHashMap,ArrayListValuedHashMap,0.58,0,10,0.14
TransformedMultiValuedMap,TransformedMultiValuedMap,0.93,0.8,19,0
UnmodifiableMultiValuedMap,UnmodifiableMultiValuedMap,0.69,1,17,0.2
AbstractMapMultiSet,AbstractMapMultiSet,0.96,0.89,45,0.18
AbstractMultiSet,AbstractMultiSet,0.42,0.41,45,0
AbstractMultiSetDecorator,AbstractMultiSetDecorator,0.5,1,13,0.18
PredicatedMultiSet,PredicatedMultiSet,0.86,1,13,0.21
SynchronizedMultiSet,SynchronizedMultiSet,0.86,1,13,0.25
UnmodifiableMultiSet,UnmodifiableMultiSet,0.77,1,17,0.2
SortedProperties,SortedProperties,1,1,3,1
CircularFifoQueue,CircularFifoQueue,0.92,0.91,45,0.93
SynchronizedQueue,SynchronizedQueue,0.95,1,12,0.09
TransformedQueue,TransformedQueue,1,0.75,11,0.91
UnmodifiableQueue,UnmodifiableQueue,0.88,1,15,0.63
EditScript,EditScript,0.95,1,8,0.67
ReplacementsFinder,ReplacementsFinder,0,0,6,0
SequencesComparator,SequencesComparator,0.99,0.96,47,0.95
AbstractSetDecorator,AbstractSetDecorator,0.88,1,7,1
CompositeSet,CompositeSet,0.95,0.92,61,0.92
ListOrderedSet,ListOrderedSet,0.96,0.91,40,0.91
MapBackedSet,MapBackedSet,0.96,0.9,23,1
PredicatedSet,PredicatedSet,1,1,7,1
TransformedNavigableSet,TransformedNavigableSet,0.57,0,17,0
TransformedSet,TransformedSet,1,0.87,9,0.89
TransformedSortedSet,TransformedSortedSet,0.57,0,12,0
UnmodifiableNavigableSet,UnmodifiableNavigableSet,1,1,20,0
UnmodifiableSet,UnmodifiableSet,1,1,10,0.75
UnmodifiableSortedSet,UnmodifiableSortedSet,1,1,15,0
AbstractIterableGetMapDecorator,AbstractIterableGetMapDecorator,0.73,0.5,18,0.71
TransformedSplitMap,TransformedSplitMap,0.79,0.62,15,0.67
AbstractBitwiseTrie,AbstractBitwiseTrie,0.86,0.75,20,0.03
AbstractPatriciaTrie,AbstractPatriciaTrie,0.69,0.66,199,0
