Class,Statement_Coverage,Branch_Coverage,cc,loc,,Mutation_Score
Charsets,0.85 ,0.75 ,6,9,Charsets.java,1.00 
Base32,0.94 ,0.83 ,49,158,Base32.java,0.89 
Base64,0.98 ,0.93 ,80,149,Base64.java,0.90 
BaseNCodec,0.94 ,0.93 ,48,76,BaseNCodec.java,0.94 
BinaryCodec,1.00 ,1.00 ,38,57,BinaryCodec.java,1.00 
Hex,0.98 ,0.92 ,24,49,Hex.java,0.97 
StringUtils,1.00 ,1.00 ,22,28,StringUtils.java,1.00 
B64,1.00 ,1.00 ,5,11,B64.java,1.00 
Crypt,1.00 ,1.00 ,9,13,Crypt.java,1.00 
DigestUtils,0.96 ,1.00 ,56,64,DigestUtils.java,0.92 
Md5Crypt,1.00 ,0.96 ,22,66,Md5Crypt.java,0.88 
Sha2Crypt,0.97 ,0.92 ,27,128,Sha2Crypt.java,0.88 
UnixCrypt,0.99 ,0.96 ,28,151,UnixCrypt.java,0.97 
AbstractCaverphone,1.00 ,1.00 ,4,6,AbstractCaverphone.java,0.67 
Caverphone,0.00 ,0.00 ,6,9,Caverphone.java,0.00 
Caverphone1,1.00 ,1.00 ,4,61,Caverphone1.java,0.75 
Caverphone2,1.00 ,1.00 ,4,64,Caverphone2.java,0.75 
ColognePhonetic,0.99 ,0.93 ,51,78,ColognePhonetic.java,0.88 
DoubleMetaphone,0.98 ,0.91 ,275,422,DoubleMetaphone.java,0.90 
Metaphone,0.99 ,0.91 ,101,168,Metaphone.java,0.91 
Nysiis,1.00 ,1.00 ,46,86,Nysiis.java,0.95 
RefinedSoundex,1.00 ,0.92 ,16,36,RefinedSoundex.java,0.89 
Soundex,0.97 ,0.94 ,30,51,Soundex.java,0.90 
SoundexUtils,1.00 ,1.00 ,13,21,SoundexUtils.java,1.00 
BeiderMorseEncoder,1.00 ,1.00 ,12,28,BeiderMorseEncoder.java,0.88 
Lang,0.87 ,0.89 ,20,50,Lang.java,0.39 
PhoneticEngine,0.92 ,0.85 ,34,109,PhoneticEngine.java,0.90 
Rule,0.87 ,0.91 ,78,170,Rule.java,0.97 
BCodec,0.81 ,0.90 ,24,44,BCodec.java,0.86 
QCodec,0.92 ,0.95 ,38,104,QCodec.java,0.88 
QuotedPrintableCodec,0.98 ,1.00 ,39,82,QuotedPrintableCodec.java,0.97 
RFC1522Codec,0.95 ,0.88 ,13,40,RFC1522Codec.java,0.83 
URLCodec,0.99 ,1.00 ,38,87,URLCodec.java,0.97 
Utils,1.00 ,1.00 ,3,5,Utils.java,1.00 
