ClassName,Statement_Coverage,Branch_Coverage,CC,LOC,,Line_CoverageMutation_Coverage,
AnnotationUtils,0.91,57,112,11,AnnotationUtils.java,0.85,0.86
ArchUtils,0.75,15,38,13,ArchUtils.java,0.92,0.9
ArrayUtils,0.93,1098,2058,321,ArrayUtils.java,0.98,0.86
BitField,1,24,21,18,BitField.java,1,0.97
BooleanUtils,0.96,170,190,41,BooleanUtils.java,1,1
CharEncoding,1,3,6,2,CharEncoding.java,1,1
CharRange,0.98,39,43,14,CharRange.java,1,0.92
CharRange.CharacterIterator,1,14,30,5,CharSequenceUtils.java,0.95,0.85
CharSequenceUtils,0.82,43,73,8,CharSet.java,1,0.95
CharSet,1,26,59,9,CharSetUtils.java,1,1
CharSetUtils,0.98,35,61,8,CharUtils.java,1,1
CharUtils,1,52,51,25,ClassPathUtils.java,1,1
Conversion,0.81,304,461,44,Conversion.java,0.93,0.83
EnumUtils,0.97,33,70,15,EnumUtils.java,1,0.98
JavaVersion,0.87,28,69,8,JavaVersion.java,0.93,0.75
LocaleUtils,0.93,58,94,14,LocaleUtils.java,1,1
ObjectUtils,0.98,81,164,37,ObjectUtils.java,0.96,0.85
RandomStringUtils,1,50,65,21,RandomStringUtils.java,1,0.95
RandomUtils,1,25,32,12,RandomUtils.java,1,0.87
Range,0.92,62,82,24,Range.java,0.99,0.9
RegExUtils,1,26,21,11,RegExUtils.java,0.95,1
SerializationUtils,1,11,33,7,StringEscapeUtils.java,1,1
StringUtils,0.98,993,1696,234,StringUtils.java,1,0.92
SystemUtils,0.58,42,134,18,SystemUtils.java,0.97,0.94
ThreadUtils,0.89,39,59,16,ThreadUtils.java,1,0.89
Validate,0.86,113,150,51,Validate.java,0.96,0.86
CompareToBuilder,0.86,141,258,31,CompareToBuilder.java,0.91,0.87
DiffBuilder,0.97,80,155,23,DiffBuilder.java,1,0.81
DiffResult,1,13,26,7,DiffResult.java,1,1
EqualsBuilder,0.84,169,300,43,EqualsBuilder.java,0.92,0.88
HashCodeBuilder,0.97,84,147,37,HashCodeBuilder.java,0.97,0.96
IDKey,0.66,6,11,3,IDKey.java,0.91,0.57
MultilineRecursiveToStringStyle,0.87,18,84,14,MultilineRecursiveToStringStyle.java,0.79,0.79
RecursiveToStringStyle,0.83,7,13,4,RecursiveToStringStyle.java,1,1
ReflectionDiffBuilder,1,10,22,4,ReflectionDiffBuilder.java,0.86,0.82
ReflectionToStringBuilder,0.96,56,98,31,ReflectionToStringBuilder.java,0.94,0.84
ToStringBuilder,1,70,131,64,ToStringBuilder.java,1,1
ToStringStyle,0.92,222,483,113,ToStringStyle.java,0.88,0.76
AbstractCircuitBreaker,1,13,18,9,AbstractCircuitBreaker.java,1,1
AtomicInitializer,0.75,4,8,2,AtomicInitializer.java,0.88,0.67
AtomicSafeInitializer,1,4,7,2,AtomicSafeInitializer.java,1,1
BackgroundInitializer,1,17,33,12,BackgroundInitializer.java,1,0.95
BasicThreadFactory,1,14,29,9,BasicThreadFactory.java,1,1
CallableBackgroundInitializer,1,5,11,4,CallableBackgroundInitializer.java,1,1
ConcurrentUtils,1,29,41,12,ConcurrentUtils.java,0.96,1
ConstantInitializer,1,9,14,6,ConstantInitializer.java,1,0.9
EventCountCircuitBreaker,0.83,26,49,20,EventCountCircuitBreaker.java,1,0.88
LazyInitializer,0.75,5,11,3,LazyInitializer.java,1,0.33
Memoizer,0.9,9,29,4,Memoizer.java,0.88,0.89
MultiBackgroundInitializer,1,12,36,5,MultiBackgroundInitializer.java,1,1
ThresholdCircuitBreaker,1,7,15,5,ThresholdCircuitBreaker.java,1,0.9
TimedSemaphore,1,30,59,19,TimedSemaphore.java,1,0.98
EventListenerSupport,0.83,18,51,15,EventListenerSupport.java,0.98,0.93
ContextedException,1,15,28,14,ContextedException.java,1,0.9
ContextedRuntimeException,1,15,28,14,ContextedRuntimeException.java,1,0.9
DefaultExceptionContext,1,20,54,8,DefaultExceptionContext.java,1,0.79
ExceptionUtils,0.93,76,149,30,ExceptionUtils.java,0.93,0.78
Fraction,0.91,133,266,35,Fraction.java,0.98,0.85
IEEE754rUtils,1,33,49,13,IEEE754rUtils.java,1,0.96
NumberUtils,0.92,274,435,68,NumberUtils.java,0.98,0.86
MutableBoolean,1,20,27,16,MutableBoolean.java,1,1
MutableByte,1,33,60,31,MutableByte.java,1,1
MutableDouble,1,34,61,32,MutableDouble.java,1,1
MutableFloat,1,34,60,32,MutableFloat.java,1,1
MutableInt,1,32,59,30,MutableInt.java,1,1
MutableLong,1,32,59,30,MutableLong.java,1,0.97
MutableObject,1,12,18,7,MutableObject.java,1,1
MutableShort,1,33,60,31,MutableShort.java,1,1
ConstructorUtils,0.87,21,54,9,ConstructorUtils.java,0.93,0.96
FieldUtils,0.9,75,144,35,FieldUtils.java,0.99,0.85
InheritanceUtils,1,7,12,2,InheritanceUtils.java,1,0.92
MemberUtils,0.88,53,78,14,MemberUtils.java,0.93,0.8
MethodUtils,0.88,104,243,30,MethodUtils.java,0.95,0.86
TypeLiteral,0.5,8,16,6,TypeLiteral.java,0.75,0.44
TypeUtils,0.61,271,495,58,TypeUtils.java,0.72,0.68
ExtendedMessageFormat,0.71,79,181,22,ExtendedMessageFormat.java,0.87,0.7
FormattableUtils,0.93,14,17,6,FormattableUtils.java,0.82,0.82
StrBuilder,0.95,415,760,149,StrBuilder.java,0.98,0.75
StrMatcher,1,22,35,16,StrMatcher.java,0.98,0.96
StrSubstitutor,0.93,109,269,56,StrSubstitutor.java,0.97,0.86
StrTokenizer,0.97,110,248,65,StrTokenizer.java,0.92,0.95
WordUtils,0.98,63,134,15,WordUtils.java,1,0.92
AggregateTranslator,1,4,8,2,AggregateTranslator.java,1,1
CharSequenceTranslator,0.88,15,36,6,CharSequenceTranslator.java,0.94,0.85
CodePointTranslator,1,3,4,2,CodePointTranslator.java,1,1
EntityArrays,1,14,26,13,EntityArrays.java,1,0.15
LookupTranslator,0.93,10,28,2,LookupTranslator.java,1,0.83
NumericEntityEscaper,1,12,20,7,NumericEntityEscaper.java,1,1
NumericEntityUnescaper,0.9,28,41,3,NumericEntityUnescaper.java,1,0.96
OctalUnescaper,0.83,16,17,4,OctalUnescaper.java,1,0.94
UnicodeEscaper,1,14,25,8,UnicodeEscaper.java,0.88,0.91
UnicodeUnescaper,0.87,10,17,2,UnicodeUnescaper.java,1,0.86
UnicodeUnpairedSurrogateRemover,1,4,4,2,UnicodeUnpairedSurrogateRemover.java,1,1
DateUtils,0.92,165,292,61,DateUtils.java,0.97,0.94
DurationFormatUtils,0.91,78,217,13,DurationFormatUtils.java,0.95,0.89
FastDateFormat,1,43,49,42,FastDateFormat.java,0.94,0.9
FastDateParser,0.93,74,140,23,FastDateParser.java,0.98,0.9
FastDatePrinter,0.9,116,238,32,FastDatePrinter.java,0.95,0.78
FastTimeZone,1,15,19,6,FastTimeZone.java,0.9,1
