Class,Statement_Coverage,Branch_Coverage,CC,LOC,,Line_Coverage,Mutaion_Coverage
DatagramSocketClient,0.5,19,42,17,DatagramSocketClient.java,0.62,0.29
DefaultSocketFactory,0,15,33,10,DefaultSocketFactory.java,0.09,0
PrintCommandListener,0,19,54,11,PrintCommandListener.java,0,0
ProtocolCommandEvent,0,8,17,7,ProtocolCommandEvent.java,0,0
ProtocolCommandSupport,0,8,19,6,ProtocolCommandSupport.java,0.26,0
SocketClient,0.29,69,154,52,SocketClient.java,0.47,0.16
RCommandClient,0,20,54,10,RCommandClient.java,0,0
RExecClient,0,18,47,10,RExecClient.java,0,0
DaytimeTCPClient,0,3,11,2,DaytimeTCPClient.java,0,0
FingerClient,0,8,27,6,FingerClient.java,0,0
FTP,0,110,219,78,FTP.java,0.05,0.01
FTPClient,0.1,278,581,139,FTPClient.java,0.16,0.07
FTPClientConfig,0.9,32,113,27,FTPClientConfig.java,0.81,0.95
FTPCommand,0.5,4,6,3,FTPCommand.java,0.57,0.5
FTPFile,0.13,52,110,32,FTPFile.java,0.49,0.36
FTPHTTPClient,0,26,85,7,FTPHTTPClient.java,0,0
FTPListParseEngine,0.42,26,63,12,FTPListParseEngine.java,0.59,0.31
FTPReply,0,18,6,6,FTPReply.java,0,0
FTPSClient,0,94,205,50,FTPSClient.java,0,0
FTPSTrustManager,0,6,7,5,FTPSTrustManager.java,0,0
CompositeFileEntryParser,1,6,15,2,CompositeFileEntryParser.java,1,1
ConfigurableFTPFileEntryParserImpl,0.87,8,17,4,ConfigurableFTPFileEntryParserImpl.java,1,0.78
DefaultFTPFileEntryParserFactory,0.94,39,66,14,DefaultFTPFileEntryParserFactory.java,0.83,0.8
EnterpriseUnixFTPEntryParser,0.83,5,46,2,EnterpriseUnixFTPEntryParser.java,0.96,0.73
FTPTimestampParserImpl,0.77,48,113,19,FTPTimestampParserImpl.java,0.88,0.76
MacOsPeterFTPEntryParser,0.61,19,67,4,MacOsPeterFTPEntryParser.java,0.73,0.67
MLSxEntryParser,0.62,45,111,7,MLSxEntryParser.java,0.74,0.45
MVSFTPEntryParser,0.45,41,98,11,MVSFTPEntryParser.java,0.64,0.43
NetwareFTPEntryParser,1,8,29,4,NetwareFTPEntryParser.java,0.97,0.94
NTFTPEntryParser,0.66,10,34,4,NTFTPEntryParser.java,0.97,0.86
OS2FTPEntryParser,1,7,23,4,OS2FTPEntryParser.java,1,0.92
OS400FTPEntryParser,0.85,26,59,5,OS400FTPEntryParser.java,0.97,0.93
RegexFTPFileEntryParserImpl,0.5,14,34,9,RegexFTPFileEntryParserImpl.java,0.62,0.44
UnixFTPEntryParser,0.9,25,81,7,UnixFTPEntryParser.java,0.94,0.86
VMSFTPEntryParser,0.96,21,64,7,VMSFTPEntryParser.java,0.92,0.84
AuthenticatingIMAPClient,0,26,54,10,AuthenticatingIMAPClient.java,0,0
IMAP,0.15,40,105,21,IMAP.java,0.18,0.13
IMAPClient,0,44,68,27,IMAPClient.java,0,0
IMAPCommand,0,10,44,9,IMAPCommand.java,0,0
IMAPReply,0,17,25,9,IMAPReply.java,0,0
