GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache JSPWiki Main Jar,org.apache.wiki.rpc.atom,AtomAPIServlet,475,0,20,0,110,0,21,0,11,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,CommentLinkTag,74,0,7,0,18,0,7,0,3,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,UserProfileTag,378,0,70,0,80,0,41,0,6,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,WikiTagBase,71,0,2,0,21,0,10,0,9,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,AttachmentsIteratorInfo,20,0,0,0,3,0,2,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,MessagesTag,171,0,12,0,35,0,13,0,7,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,NextVersionTag,24,0,2,0,8,0,3,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,AdminBeanIteratorTag,56,0,6,0,15,0,6,0,3,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,HistoryIteratorInfo,20,0,0,0,3,0,2,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,IfNoSearchResultsTag,19,0,4,0,5,0,4,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,TranslateTag,61,0,2,0,16,0,4,0,3,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,UserCheckTag,152,0,40,0,50,0,26,0,6,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,LinkToParentTag,48,0,6,0,12,0,5,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,TemplateDirTag,14,0,0,0,4,0,2,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,PageNameTag,35,0,4,0,8,0,4,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,PreviousVersionTag,20,0,2,0,7,0,3,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,EditLinkTag,141,0,15,0,36,0,14,0,6,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,UserNameTag,60,0,4,0,13,0,5,0,3,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,TabbedSectionTag,204,0,24,0,51,0,22,0,10,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,CheckVersionTag,123,0,33,0,31,0,22,0,4,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,RSSImageLinkTag,138,0,10,0,27,0,11,0,6,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,BreadcrumbsTag,186,0,18,0,40,0,17,0,8,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,LinkToTag,171,0,17,0,38,0,16,0,7,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,ParentPageNameTag,62,0,8,0,15,0,6,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,IncludeTag,83,0,2,0,22,0,8,0,7,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,VariableTag,88,0,4,0,28,0,8,0,6,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,ParamTag,53,0,12,0,19,0,11,0,5,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,AuthorTag,75,0,6,0,15,0,5,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,CookieTag,417,0,58,0,115,0,47,0,18,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,PermissionTag,210,0,42,0,49,0,26,0,5,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,EditorIteratorInfo,20,0,0,0,3,0,2,0,2,0
Apache JSPWiki Main Jar,org.apache.wiki.tags,CheckLockTag,103,0,26,0,23,0,17,0,4,0
